"","Treatment","Left","Center","Right"
"1","PL",0.0333333333333333,0.512962962962963,0.440740740740741
"2","PH",0.0210526315789474,0.75,0.2
"3","RL",0.0138888888888889,0.972222222222222,0.00771604938271605
"4","RH",0.0114285714285714,0.962857142857143,0.00571428571428571
"5","PLCS",0.490909090909091,0.1,0.403030303030303
"6","PLCA",0.554545454545455,0.409090909090909,0.0151515151515152
