Juego;Sesion;id_usuario;num_periodo;id_tipo;id_grupo;punto_ideal;se_postula;num_votos; num_votos2;balance_ini;balance
A;1;5;2;R;197;70;1;50;0;131;122
A;1;5;3;R;206;30;1;50;0;122;113
A;1;5;4;R;209;30;0;0;0;113;111
A;1;5;5;R;219;30;1;51;0;111;131
A;1;5;6;R;227;70;1;40;0;131;122
A;1;5;7;R;232;70;1;41;0;122;115
A;1;5;8;R;237;30;0;0;0;115;113
A;1;5;9;R;249;50;1;21;0;113;106
A;1;5;10;R;253;30;1;50;0;106;97
A;1;5;11;R;260;30;1;51;0;97;117
A;1;5;12;R;270;50;0;0;0;117;115
A;1;5;13;R;277;30;0;0;0;115;111
A;1;5;14;R;282;70;1;51;0;111;131
A;1;5;15;R;286;70;0;0;0;131;129
A;1;5;16;R;297;50;1;60;0;129;149
A;1;5;17;R;305;50;0;0;0;149;147
A;1;5;18;R;311;50;0;0;0;147;145
A;1;5;19;R;316;50;1;25;0;145;138
A;1;5;20;R;324;30;0;0;0;138;133
A;1;5;21;R;332;80;0;0;0;133;93
A;1;5;22;R;337;80;1;36;0;93;83
A;1;5;23;R;346;80;1;36;0;83;73
A;1;5;24;R;354;30;0;0;0;73;71
A;1;5;25;R;360;30;0;0;0;71;69
A;1;5;26;R;367;80;1;35;0;69;61
A;1;5;27;R;372;50;0;0;0;61;59
A;1;5;28;R;382;30;1;40;0;59;52
A;1;5;29;R;385;50;1;61;0;52;72
A;1;5;30;R;394;50;1;60;0;72;92
A;1;6;1;P;172;30;0;0;0;140;138
A;1;6;2;P;175;30;1;50;0;138;129
A;1;6;3;P;184;30;1;50;0;129;120
A;1;6;1;R;188;50;1;20;0;140;133
A;1;6;2;R;200;50;0;0;0;133;131
A;1;6;3;R;203;30;0;0;0;131;127
A;1;6;4;R;214;70;0;0;0;127;125
A;1;6;5;R;218;50;0;0;0;125;123
A;1;6;6;R;226;30;0;0;0;123;119
A;1;6;7;R;230;70;0;0;0;119;115
A;1;6;8;R;239;70;1;101;0;115;135
A;1;6;9;R;245;70;0;0;0;135;133
A;1;6;10;R;251;50;0;0;0;133;131
A;1;6;11;R;258;30;0;0;0;131;91
A;1;6;12;R;268;50;1;20;0;91;84
A;1;6;13;R;274;50;0;0;0;84;82
A;1;6;14;R;283;50;0;0;0;82;80
A;1;6;15;R;289;30;0;0;0;80;78
A;1;6;16;R;296;80;1;36;0;78;70
A;1;6;17;R;300;50;0;0;0;70;68
A;1;6;18;R;308;50;0;0;0;68;66
A;1;6;19;R;319;80;1;36;0;66;56
A;1;6;20;R;322;80;0;0;0;56;51
A;1;6;21;R;328;30;0;0;0;51;49
A;1;6;22;R;338;50;0;0;0;49;47
A;1;6;23;R;342;30;0;0;0;47;7
A;1;6;24;R;351;50;1;60;0;7;27
A;1;6;25;R;356;30;1;40;0;27;47
A;1;6;26;R;367;30;0;0;0;47;45
A;1;6;27;R;370;80;1;35;0;45;35
A;1;6;28;R;377;50;1;60;0;35;55
A;1;6;29;R;387;80;0;0;0;55;52
A;1;6;30;R;391;30;0;0;0;52;50
A;1;7;1;P;167;50;1;61;0;140;160
A;1;7;2;P;178;70;1;40;0;160;151
A;1;7;3;P;183;30;1;51;0;151;171
A;1;7;1;R;189;50;1;21;0;140;133
A;1;7;2;R;195;50;1;60;0;133;153
A;1;7;3;R;202;30;1;40;0;153;146
A;1;7;4;R;209;50;1;61;0;146;166
A;1;7;5;R;218;70;1;51;0;166;186
A;1;7;6;R;224;70;1;41;0;186;206
A;1;7;7;R;232;50;1;60;0;206;226
A;1;7;8;R;241;30;1;51;0;226;246
A;1;7;9;R;245;50;1;60;0;246;266
A;1;7;10;R;251;70;1;50;0;266;257
A;1;7;11;R;261;70;1;50;0;257;248
A;1;7;12;R;270;30;1;51;0;248;268
A;1;7;13;R;273;30;1;41;0;268;261
A;1;7;14;R;284;50;1;21;0;261;254
A;1;7;15;R;291;30;1;51;0;254;274
A;1;7;16;R;294;30;1;56;0;274;294
A;1;7;17;R;303;30;1;41;0;294;314
A;1;7;18;R;312;50;1;61;0;314;334
A;1;7;19;R;314;80;1;36;0;334;324
A;1;7;20;R;322;30;1;101;0;324;344
